DEBUG 2024-08-29 03:03:15,825 autoreload File C:\Users\hp\Desktop\CAAD-LMS\cms_backend_projecttccs\myapp\serializers.py first seen with mtime 1724882476.7787898
DEBUG 2024-08-29 03:03:15,826 autoreload File C:\Python311\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1721567774.0962746
DEBUG 2024-08-29 03:03:15,826 autoreload File C:\Python311\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1721567780.4540923
DEBUG 2024-08-29 03:03:15,827 autoreload File C:\Python311\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1721567781.1192768
DEBUG 2024-08-29 03:03:15,827 autoreload File C:\Python311\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1721567781.1756403
DEBUG 2024-08-29 03:03:15,828 autoreload File C:\Python311\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1721567780.5294785
DEBUG 2024-08-29 03:03:15,829 autoreload File C:\Python311\Lib\asyncio\__init__.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,830 autoreload File C:\Python311\Lib\site-packages\requests\utils.py first seen with mtime 1722604878.3648982
DEBUG 2024-08-29 03:03:15,830 autoreload File C:\Python311\Lib\site-packages\django\http\__init__.py first seen with mtime 1721567781.7932272
DEBUG 2024-08-29 03:03:15,831 autoreload File C:\Python311\DLLs\select.pyd first seen with mtime 1692871198.0
DEBUG 2024-08-29 03:03:15,832 autoreload File C:\Python311\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1721567780.3759096
DEBUG 2024-08-29 03:03:15,835 autoreload File C:\Python311\Lib\secrets.py first seen with mtime 1692871152.0
DEBUG 2024-08-29 03:03:15,837 autoreload File C:\Python311\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1721567780.5466046
DEBUG 2024-08-29 03:03:15,837 autoreload File C:\Python311\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1721567780.7633307
DEBUG 2024-08-29 03:03:15,838 autoreload File C:\Python311\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1721567781.1413038
DEBUG 2024-08-29 03:03:15,838 autoreload File C:\Python311\Lib\site-packages\django\template\smartif.py first seen with mtime 1721567781.922465
DEBUG 2024-08-29 03:03:15,839 autoreload File C:\Python311\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1721567775.86695
DEBUG 2024-08-29 03:03:15,840 autoreload File C:\Python311\Lib\_weakrefset.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,841 autoreload File C:\Python311\Lib\email\_policybase.py first seen with mtime 1692871150.0
DEBUG 2024-08-29 03:03:15,841 autoreload File C:\Python311\Lib\site-packages\rest_framework\views.py first seen with mtime 1724756022.1457157
DEBUG 2024-08-29 03:03:15,842 autoreload File C:\Python311\DLLs\_uuid.pyd first seen with mtime 1692871198.0
DEBUG 2024-08-29 03:03:15,842 autoreload File C:\Python311\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1721567779.7480297
DEBUG 2024-08-29 03:03:15,843 autoreload File C:\Python311\Lib\site-packages\colorama\winterm.py first seen with mtime 1708355729.9380393
